actual,pred,alive,title,male,culture,dateOfBirth,house,book1,book2,book3,book4,book5,isMarried,isNoble,numDeadRelations,boolDeadRelations,isPopular,popularity,target
1,1,0.725,Other,1,Other,268.0,Other,0,1,1,1,0,0,0,0,0,0,0.0668896321070234,0
1,1,0.947,Other,0,Other,268.0,Other,0,0,1,0,0,0,0,0,0,0,0.0033444816053511,0
1,1,0.998,Other,1,Other,268.0,Other,0,0,0,1,0,0,0,0,0,0,0.020066889632107,0
1,1,0.802,Other,1,Other,268.0,Other,0,1,0,0,0,0,0,0,0,0,0.0,0
0,1,0.959,Other,1,Other,268.0,Other,1,0,0,0,0,0,0,0,0,0,0.0100334448160535,1
0,1,0.76,Other,1,Other,268.0,Other,0,0,0,0,0,0,0,0,0,0,0.0,1
1,1,0.995,Other,1,Other,268.0,Other,0,0,0,1,0,0,0,0,0,0,0.0100334448160535,0
1,1,0.767,Other,1,Other,268.0,Other,0,0,1,0,0,0,0,0,0,0,0.020066889632107,0
0,1,0.994,Other,1,Other,268.0,Other,0,0,0,1,0,0,1,0,0,0,0.0133779264214046,1
0,0,0.276,Other,0,Other,268.0,Other,0,0,0,0,0,0,1,0,0,0,0.0936454849498327,1
1,1,0.979,Other,1,Other,268.0,Other,0,0,0,1,0,0,0,0,0,0,0.0133779264214046,0
1,1,0.751,Other,1,Other,268.0,Other,1,1,1,1,1,1,1,0,0,1,0.511705685618729,0
1,1,0.866,Other,1,Other,268.0,Other,0,0,1,0,0,0,1,0,0,0,0.0033444816053511,0
1,1,0.98,Other,1,Other,268.0,Other,0,0,0,1,0,0,1,0,0,0,0.0133779264214046,0
1,0,0.457,Other,1,Other,268.0,Other,1,1,1,1,1,0,1,0,0,0,0.153846153846153,0
1,1,0.797,Other,0,Other,296.0,Other,0,1,1,1,0,0,0,0,0,0,0.0501672240802675,0
1,1,0.795,Other,1,Other,268.0,Other,0,1,1,0,0,0,0,0,0,0,0.0100334448160535,0
0,0,0.054,Other,1,Other,268.0,Other,0,0,0,0,0,0,0,11,1,1,0.605351170568561,1
1,0,0.198,Other,0,Other,281.0,Other,0,0,1,0,1,0,0,0,0,0,0.187290969899665,0
